單詞,情緒分數
化妆课,0.999778
#,0.014012
个人,0.006146
化妆班,0.994302
#,0.014012
个人,0.006146
美妆班,0.999711
#,0.014012
个人,0.006146
化妆,0.87592
#,0.014012
个人,0.006146
美妆,0.999963
#,0.014012
个人,0.006146
形象,0.998348
化妆班,0.994302
#,0.014012
新手,0.006561
化妆,0.87592
#,0.014012
化妆,0.87592
培训,0.001465
#,0.014012
化妆师,0.685647
#bukitjalil,0.019263
#,0.014012
吉隆坡,0.991678
#,0.014012
个人,0.006146
形象,0.998348
美妆课,0.999963
#,0.014012
美妝課,0.999963
#,0.014012
美妆,0.999963
课程,0.999962
#,0.014012
美妆,0.999963
形象,0.998348
#,0.014012
马来西亚,0.99979
个人,0.006146
形象,0.998348
#,0.014012
日常,0.999962
妆容,0.982621
#,0.014012
日常,0.999962
妆容,0.982621
教学,0.999963
#,0.014012
日常,0.999962
妝容,0.99368
#,0.014012
简单,0.999724
日常,0.999962
妆容,0.982621
#,0.014012
日常,0.999962
妆容,0.982621
课程,0.999962
#,0.014012
韩式,0.999042
妆容,0.982621
#,0.014012
韩系,0.999962
妆容,0.982621
#,0.014012
好物,0.999962
分享,0.999963
#,0.014012
彩妆,0.987414
分享,0.999963
#,0.014012
彩妆,0.987414
好物,0.999962
#,0.014012
修容盘,7e-05
#,0.014012
修容盘,7e-05
推荐,0.999961
#,0.014012
彩棠,0.99797
#,0.014012
彩棠,0.99797
修容盘,7e-05
#TIMAGE#timagemalaysia#huecoe,0.023198
这,0.010469
是,0.001972
什么,0.005779
歹毒,0.00196
的,0.368506
上镜,0.999958
妆容,0.982621
！,0.001203
专治,0.999962
相机,0.842446
吃妆,0.989727
！,0.001203
大家,0.00494
码住,0.001028
这,0.010469
个,0.002308
妆容,0.982621
 ,0.037232
真的,0.261996
在,0.566759
缩短,0.003646
中庭,0.847478
唉,0.001258
哈哈,0.999961
哈哈,0.999961
#,0.014012
妆容,0.982621
#,0.014012
妆容,0.982621
教程,0.999942
#,0.014012
妆容,0.982621
分享,0.999963
#,0.014012
纯野,0.999963
妆,0.98104
🇰🇷,0.033441
Light,0.033441
 Spring,0.033441
｜,0.007838
四,0.184513
季,0.266536
彩妆,0.987414
｜,0.007838
浅春型,0.848205
推荐,0.999961
🌸,0.033441
#,0.014012
韩系,0.999962
彩妆,0.987414
#,0.014012
彩妆,0.987414
分享,0.999963
#,0.014012
柔春,0.999963
#,0.014012
春季人,0.999963
#,0.014012
四季型,0.701366
#,0.014012
眼影,0.999963
#,0.014012
腮红,0.2295
求求,0.174398
听,0.986684
劝,3.6e-05
！,0.001203
选,0.999917
新品,0.999927
腮红,0.2295
一定,0.084844
不要,0.000131
盲目,0.017624
跟,0.003942
风,0.999947
！,0.001203
作为,0.999873
腮红迷,0.996803
几乎,0.016916
看到,0.99986
好看,0.999962
的,0.368506
都,0.299263
忍不住,0.794851
入手,0.999963
"
",0.037232
所以,0.134029
这,0.010469
期间,0.00861
来来回回,0.000361
踩,0.005561
了,0.103906
不少,0.62471
"雷
",0.997066
入,0.999962
了,0.103906
一,0.010558
大,0.026066
堆,8e-05
，,0.009304
但,0.483666
经常,0.020403
用,0.248765
的,0.368506
也,0.912719
就,0.305707
那,0.015857
几,0.127462
个,0.002308
"
",0.037232
整理出来,0.925904
给,0.86028
大家,0.00494
做,0.999961
个,0.002308
参考,0.999962
"
",0.037232
千万,0.992193
别,0.005253
瞎,4.1e-05
买,0.175209
"~
#",0.004133
平价,0.978715
腮红,0.2295
#,0.014012
腮红,0.2295
试色,0.139771
#,0.014012
橄榄皮,0.991386
腮红,0.2295
#,0.014012
腮红,0.2295
推荐,0.999961
#,0.014012
剁手,0.99264
也,0.912719
要,0.59401
买,0.175209
的,0.368506
腮红,0.2295
2024,0.06723
不,0.002385
买,0.175209
系列,0.999952
❌,0.033441
这些,0.334502
护肤,0.999963
彩妆,0.987414
！,0.001203
休想,0.00425
再,0.003113
来,0.885449
骗,3.8e-05
我,0.000628
💰,0.033441
"1️⃣
2️⃣
3️⃣
4️⃣
5️⃣
6",0.007022
"️⃣
",0.033441
#,0.014012
省钱,0.337562
攻略,0.999963
#,0.014012
省钱,0.337562
小,0.994681
技巧,0.999962
#,0.014012
护肤,0.999963
小,0.994681
知识,0.999963
#,0.014012
彩妆,0.987414
避雷,0.142039
#,0.014012
消费,7.1e-05
降级,0.00059
0,0.000267
6,0.002767
款,0.996131
私心,0.996188
推薦,0.999961
好物,0.999962
#,0.014012
我,0.000628
是,0.001972
BB,0.033441
金莎,0.999963
的,0.368506
媽,0.997358
#,0.014012
寶雅,0.999962
#,0.014012
彩妝,0.995539
眼影盘,0.999914
白名单,0.000281
！,0.001203
春夏,0.999963
新品,0.999927
眼影盘,0.999914
不,0.002385
交,0.004018
智商税,0.03029
！,0.001203
眼影,0.999963
/,0.003202
眼影盘,0.999914
/,0.003202
眼影盘,0.999914
推荐,0.999961
/,0.003202
学生党,0.999963
/,0.003202
平价,0.978715
眼影盘,0.999914
/,0.003202
肿,0.000929
"眼泡
",0.00135
现在,0.999911
市面,0.989502
上,0.226084
的,0.368506
眼影盘,0.999914
越来越,0.664174
多,0.99408
了,0.103906
！,0.001203
"
",0.037232
一些,0.783571
眼影盘,0.999914
都,0.299263
是,0.001972
智商税,0.03029
❗,0.033441
一定,0.084844
要,0.59401
擦亮,0.002148
眼,0.036483
在,0.566759
选择,0.99764
哟,0.983309
🙋‍♀,0.033441
"
",0.037232
尤其,0.944418
是,0.001972
含,0.037486
滑石,0.100926
的,0.368506
眼影盘,0.999914
💥,0.033441
"
",0.037232
严重,3.7e-05
的话,0.948383
对,0.040364
皮肤,0.99983
有,0.51643
危害,0.017056
的,0.368506
"⚠
❌",0.016379
滑石,0.100926
是,0.001972
一,0.010558
种,0.988798
矿物质,0.052152
（,0.032379
硅酸镁,0.186861
或,0.050318
滑石粉,0.180881
）,0.055182
，,0.009304
可能,0.215914
被,0.000725
石棉,0.468372
纤维,0.99741
污染,0.000165
，,0.009304
因此,0.983613
在,0.566759
化妆品,0.0687
粉末,0.21495
中,0.999902
避免,0.284721
它,0.636023
尤为,0.997096
重要,0.04341
，,0.009304
因为,0.994469
存在,0.926907
吸入,0.999895
风险,0.075174
。,0.036835
根据,0.539856
EWG,0.033441
，,0.009304
国家,0.999963
毒理学,0.976388
小组,0.999963
的,0.368506
研究表,0.997599
"
明",0.080836
，,0.009304
即使,0.94028
声,0.000897
称,0.004619
不,0.002385
含,0.037486
石棉,0.468372
的,0.368506
化妆品,0.0687
级,0.856693
滑石,0.100926
仍,0.595342
可能,0.215914
具有,0.999962
毒性,0.000243
和,0.604069
致癌性,0.009592
。,0.036835
"
📣",0.033441
眼影盘,0.999914
避雷,0.142039
成分,0.858545
"
",0.037232
氯氧铋,0.032783
、,0.003558
香料,0.999963
、,0.003558
麩质,0.042871
（,0.032379
如果,0.009845
你,0.075191
对,0.040364
麸质,0.017567
敏感,0.999962
）,0.055182
"
纳米",0.999914
颗粒,0.627362
、,0.003558
对羟基苯甲酸酯,0.11155
、,0.003558
"石蜡
",0.000895
聚乙二醇,0.00732
、,0.003558
苯氧乙醇,0.010704
"
",0.037232
聚四氟乙烯,0.024109
（,0.032379
一,0.010558
种,0.988798
用于,0.95779
不粘锅,0.000369
的,0.368506
成分,0.858545
，,0.009304
有时,0.11914
在,0.566759
眼影,0.999963
中,0.999902
发现,0.002492
！,0.001203
）,0.055182
"
✅",0.033441
分享,0.999963
几,0.127462
款,0.996131
日常性,0.251139
价,0.227935
比,0.145275
超,0.475058
高,0.006936
的,0.368506
眼影盘,0.999914
！,0.001203
"
",0.037232
有,0.51643
需要,0.262789
的,0.368506
姐妹,0.999963
可以,0.999954
参考,0.999962
下,0.943397
哟,0.983309
！,0.001203
"
南袖",0.012044
眼影盘,0.999914
-,0.006624
大地色,0.999963
"
TF",0.033441
眼影盘,0.999914
-26,0.008344
色号,0.000563
"
CT",0.033441
眼影盘,0.999914
-,0.006624
枕边话,0.258103
"
Nars",0.033441
眼影盘,0.999914
-,0.006624
舞伶,0.999962
"红金
",0.998791
香奈儿,0.998378
眼影盘,0.999914
"-warm
",0.02629
万花镜,0.142555
眼影盘,0.999914
-,0.006624
黑茉莉,0.999091
"
",0.037232
橘朵,0.741146
眼影盘,0.999914
-,0.006624
清冷,0.999962
灰粽,0.031594
"
3CE",0.033441
眼影盘,0.999914
-,0.006624
燕麦,0.103044
"拿铁
#",0.857406
眼影,0.999963
#,0.014012
眼影盘,0.999914
#,0.014012
万能,0.999956
眼影,0.999963
#,0.014012
眼影盘,0.999914
推荐,0.999961
#,0.014012
南袖,0.012044
眼影,0.999963
#TF,0.010732
眼影盘,0.999914
#CT,0.010732
眼影盘,0.999914
#3CE,0.010732
眼影盘,0.999914
#MAC,0.010732
眼影盘,0.999914
#Nars,0.010732
眼影盘,0.999914
#,0.014012
南袖,0.012044
眼影盘,0.999914
#,0.014012
被种草,0.306564
就,0.305707
下单,0.001008
的,0.368506
眼影盘,0.999914
#,0.014012
眼影,0.999963
分享,0.999963
#,0.014012
日常,0.999962
眼妆,0.119996
怎么,0.00234
画,0.999919
#,0.014012
好用,0.999962
的,0.368506
眼影,0.999963
#,0.014012
眼影盘,0.999914
必,0.999959
入,0.999962
#,0.014012
国货,0.999267
彩妆,0.987414
#,0.014012
眼影盘,0.999914
推,0.99521
荐,0.999908
不飞粉,6.3e-05
持久,0.999962
黄黑,0.002408
皮肤,0.99983
必备,0.999962
！,0.001203
泰国,0.993107
彩妆,0.987414
推荐,0.999961
分享,0.999963
🌺,0.033441
很多,0.999951
人,0.998103
都,0.299263
说,0.000205
泰国,0.993107
牌子,0.012099
的,0.368506
彩妆,0.987414
颜色,0.173316
都,0.299263
很,0.999963
艳,0.99986
，,0.009304
大红大紫,0.123872
的,0.368506
那,0.015857
种,0.988798
。,0.036835
但,0.483666
其实,0.999934
好好,0.999956
挑,0.999948
的话,0.948383
还是,0.320546
挺,0.999962
不错,0.999962
的,0.368506
٩,0.033441
(,0.040528
ˊᗜˋ*,0.026767
),0.045271
و,0.061162
 ,0.037232
今天,0.757372
来,0.885449
推荐,0.999961
一下,0.393236
比较,0.983678
偏,0.005561
奶茶系,0.999963
的,0.368506
妆容,0.982621
，,0.009304
比,0.145275
我,0.000628
个人,0.006146
认识,0.999963
的,0.368506
普通,0.054599
的,0.368506
奶茶,0.999963
风格,0.996497
颜色,0.173316
要,0.59401
亮,0.008665
一些,0.783571
，,0.009304
但,0.483666
也,0.912719
不会,5.3e-05
太,3.9e-05
亮,0.008665
【,0.054875
先,0.108487
暂时,0.15091
成为,0.999963
泰奶系,0.999963
吧🤣,0.073178
】,0.02617
。,0.036835
个人,0.006146
是,0.001972
黄黑,0.002408
皮,0.467653
+,0.005309
深,0.999962
唇色,0.851234
，,0.009304
以上,0.037862
颜色,0.173316
都,0.299263
不,0.002385
显,0.003888
黑,0.003515
，,0.009304
以及,0.28278
最,0.953145
大,0.026066
的,0.368506
优点,0.995767
就是,0.39477
防水,0.00881
超,0.475058
持久,0.999962
。,0.036835
"

#",0.014012
泰国,0.993107
曼谷,0.989121
#,0.014012
生活,0.999963
在,0.566759
曼谷,0.989121
#,0.014012
我,0.000628
的,0.368506
彩妆,0.987414
分享,0.999963
#,0.014012
彩妆,0.987414
集训营,0.980038
#,0.014012
学生党,0.999963
平价,0.978715
彩妆,0.987414
#,0.014012
我,0.000628
的,0.368506
彩妆,0.987414
测评,0.989099
#,0.014012
泰国,0.993107
彩妆,0.987414
#,0.014012
平价,0.978715
彩妆,0.987414
#,0.014012
双十一,0.978708
买,0.175209
什么,0.005779
#,0.014012
双十二,0.920243
#,0.014012
时尚,0.999962
档案馆,0.999961
#,0.014012
眼影,0.999963
试色,0.139771
#,0.014012
唇釉,0.028077
#,0.014012
平价,0.978715
唇釉,0.028077
#,0.014012
学生党,0.999963
平价,0.978715
好,0.999962
物,0.329183
#,0.014012
美妆,0.999963
测评,0.989099
#,0.014012
眼影,0.999963
试色,0.139771
#,0.014012
唇釉,0.028077
试色,0.139771
#,0.014012
奶茶妆,0.999963
#,0.014012
纯欲风,0.999958
#,0.014012
干枯,0.000208
玫瑰,0.999963
#,0.014012
东南亚,0.999963
纯欲妆,0.999884
三八,0.202091
大促,0.999958
囤货,0.970516
必,0.999959
买,0.175209
🧾,0.033441
！,0.001203
跟,0.003942
着,0.956758
买,0.175209
不,0.002385
踩,0.005561
雷,0.997066
！,0.001203
马上,0.998014
就,0.305707
又,0.012163
到,0.542532
了,0.103906
女神节,0.999963
大促,0.999958
啦,0.487935
"
",0.037232
作为,0.999873
彩妆,0.987414
大户,0.999958
的,0.368506
我,0.000628
当然,0.977776
不会,5.3e-05
错过,0.99992
咯,0.027135
"
",0.037232
今天,0.757372
就,0.305707
给,0.86028
姐妹,0.999963
们,0.789512
分享,0.999963
九,0.967791
款,0.996131
我,0.000628
用,0.248765
下来,0.997086
很,0.999963
喜欢,0.999962
且,0.00343
会,0.599614
回购,0.010477
的,0.368506
单品,0.081932
～,0.021229
"
✔BB",0.033441
虫草,0.993467
粉霜,0.989021
"
✔BB",0.033441
橘子,0.98826
面霜,0.998602
"
✔",0.097659
兰蔻,0.99807
小白管,0.650378
防晒,0.848493
"
✔CT",0.033441
眼影,0.999963
#ee,0.034123
"
✔",0.097659
Dior#649,0.117455
"
✔NARS",0.033441
大白饼,0.925362
"
✔MAC",0.033441
小,0.994681
金盒,0.996982
"
✔CHANEL",0.033441
散粉,0.001645
"
✔LM",0.033441
腮红,0.2295
"
",0.037232
这些,0.334502
真的,0.261996
都,0.299263
是,0.001972
我,0.000628
用,0.248765
下来,0.997086
觉得,0.021406
很,0.999963
不错,0.999962
的,0.368506
单品,0.081932
，,0.009304
不过,0.986764
仅,0.015192
代表,0.999956
我,0.000628
个人,0.006146
意见,0.053789
哦,0.993352
～,0.021229
姐妹,0.999963
们,0.789512
理性,0.999715
种草,0.988716
哈,0.999902
～,0.021229
"
#",0.014012
芭比,0.999892
波朗,0.999928
#,0.014012
芭比,0.999892
波朗,0.999928
橘子,0.98826
面霜,0.998602
#,0.014012
底妆,0.965781
#bobbibrown,0.148536
虫草,0.993467
粉霜,0.989021
#,0.014012
芭比,0.999892
波朗,0.999928
虫草,0.993467
粉霜,0.989021
沉浸式,0.120027
消耗,0.022157
 ,0.037232
第十一,0.207667
篇,0.096671
|,0.005608
化妆,0.87592
日常,0.999962
day,0.081845
10,0.000888
每,0.980878
天,0.681267
打卡,0.000435
沉浸式,0.120027
消耗,0.022157
，,0.009304
相信,0.997291
我,0.000628
的,0.368506
铁皮梦,0.999962
能,0.227357
飞速,0.99364
实现,0.999962
！,0.001203
👉🏻,0.033441
有,0.51643
完妆,0.999904
视频,0.025517
#,0.014012
电子,0.717258
榨菜,0.068334
#,0.014012
沉浸式,0.120027
消耗,0.022157
#,0.014012
绿色,0.798741
无,0.006982
广,0.619906
#,0.014012
日常,0.999962
化妆,0.87592
#,0.014012
化妆,0.87592
#,0.014012
沉浸式,0.120027
化妆,0.87592
#,0.014012
化妆,0.87592
vlog,0.020069
#,0.014012
下饭,0.999692
#,0.014012
解压,0.999962
#,0.014012
彩妆,0.987414
#,0.014012
日常,0.999962
消耗,0.022157
#,0.014012
沉浸式,0.120027
#,0.014012
彩妆,0.987414
分享,0.999963
#,0.014012
一起,0.999618
化妆,0.87592
#,0.014012
好物,0.999962
推荐,0.999961
#,0.014012
宝宝,0.999955
辅食,0.999869
#,0.014012
美妆,0.999963
#,0.014012
物尽其用,0.998675
#,0.014012
平价,0.978715
化妆品,0.0687
#,0.014012
非,0.002148
刚,0.991993
需,0.211819
不,0.002385
购买,0.996878
#,0.014012
我,0.000628
爱,0.999963
官方,0.191828
大大,0.143628
求,0.006981
流量,0.009913
都,0.299263
是,0.001972
心头,0.988191
爱,0.999963
！,0.001203
如果,0.009845
每,0.980878
个,0.002308
大牌,0.999962
只,0.04954
能,0.227357
选,0.999917
一,0.010558
样,0.00232
彩妆,0.987414
！,0.001203
#,0.014012
彩妆,0.987414
#,0.014012
化妆,0.87592
#,0.014012
美妆,0.999963
分享,0.999963
#,0.014012
美妆,0.999963
分享,0.999963
#,0.014012
大牌,0.999962
彩妆,0.987414
#,0.014012
我,0.000628
的,0.368506
彩妆,0.987414
分享,0.999963
大牌,0.999962
彩妆,0.987414
这,0.010469
一,0.010558
套,0.317563
就,0.305707
够,0.999955
！,0.001203
每,0.980878
一,0.010558
个,0.002308
都,0.299263
是,0.001972
我,0.000628
的,0.368506
心头,0.988191
爱,0.999963
#,0.014012
大牌,0.999962
彩妆,0.987414
#,0.014012
彩妆,0.987414
#,0.014012
彩妆,0.987414
分享,0.999963
巨,0.006256
平价,0.978715
小,0.994681
彩妆,0.987414
！,0.001203
！,0.001203
！,0.001203
！,0.001203
！,0.001203
！,0.001203
黄,0.000271
黑,0.003515
皮,0.467653
可,0.994351
！,0.001203
！,0.001203
！,0.001203
！,0.001203
！,0.001203
#,0.014012
彩妆,0.987414
分享,0.999963
#,0.014012
彩妆,0.987414
好物,0.999962
#,0.014012
我,0.000628
的,0.368506
平价,0.978715
好物,0.999962
#,0.014012
腮红,0.2295
试色,0.139771
#,0.014012
腮红,0.2295
分享,0.999963
#,0.014012
腮红膏,0.916848
💫“4,0.002933
⃣️,0.033441
月,0.002632
新品,0.999927
彩妆,0.987414
2.0,0.002932
”💕,0.016379
又,0.012163
来,0.885449
了,0.103906
又,0.012163
来,0.885449
了,0.103906
新,0.999898
的,0.368506
一,0.010558
批,0.007787
美丽,0.999962
化妆品,0.0687
又,0.012163
来,0.885449
了,0.103906
！,0.001203
！,0.001203
"
",0.037232
很多,0.999951
水,0.000144
duang,0.012516
duang,0.012516
的,0.368506
唇部,0.121835
产品,0.098665
和,0.604069
防晒,0.848493
～,0.021229
"
#",0.014012
彩妆,0.987414
分享,0.999963
#,0.014012
彩妆,0.987414
新品,0.999927
#,0.014012
彩妆,0.987414
#,0.014012
小众,0.979444
彩妆,0.987414
#,0.014012
韩系,0.999962
彩妆,0.987414
#dasique#amuse#clio#peripera#,0.122577
彩妆,0.987414
分享,0.999963
喂饭式,0.32872
总结,0.999961
！,0.001203
热门,0.06824
新品,0.999927
持妆,0.815685
气垫,0.002193
千万,0.992193
别,0.005253
选错,0.999766
普通人,0.118032
的,0.368506
有效,0.999962
化妆,0.87592
｜,0.007838
只,0.04954
需,0.211819
5,0.002319
件,0.001824
平时,0.996355
工作,0.999962
中,0.999902
总,0.999939
有,0.51643
些,0.507273
正式,0.99996
场合,0.661346
需要,0.262789
化,0.529077
淡妆,0.987488
。,0.036835
刚,0.991993
毕业,0.999963
的,0.368506
时候,0.99412
，,0.009304
总,0.999939
喜欢,0.999962
尝试,0.999963
各,0.755635
种,0.988798
当下,0.999921
流行,0.999961
的,0.368506
时尚,0.999962
妆容,0.982621
。,0.036835
也,0.912719
很,0.999963
容易,0.237091
被,0.000725
一些,0.783571
新,0.999898
出,0.501559
的,0.368506
彩妆,0.987414
产品,0.098665
吸引,0.999962
，,0.009304
冲动,0.020447
消费,7.1e-05
。,0.036835
但,0.483666
后面,0.020215
慢慢,0.170567
发现,0.002492
，,0.009304
其实,0.999934
很多,0.999951
流行,0.999961
的,0.368506
妆容,0.982621
并,0.017119
不,0.002385
适合,0.999956
自己,0.999254
，,0.009304
也,0.912719
不,0.002385
适合,0.999956
日常,0.999962
场合,0.661346
。,0.036835
"
",0.037232
现在,0.999911
对于,0.690775
化妆,0.87592
，,0.009304
就,0.305707
只,0.04954
需要,0.262789
达到,0.99996
自然,0.99996
和,0.604069
提升,0.999962
整体,0.999913
气质,0.999938
和,0.604069
形象,0.998348
就,0.305707
可以,0.999954
了,0.103906
。,0.036835
所以,0.134029
很多,0.999951
彩妆,0.987414
产品,0.098665
也,0.912719
弃,0.024297
之,0.039629
不用,0.002558
了,0.103906
。,0.036835
常,0.140328
用,0.248765
的,0.368506
基本,0.690612
上,0.226084
彻底,0.997417
用完,0.995392
，,0.009304
不会,5.3e-05
浪费,3.7e-05
。,0.036835
目前,0.999962
我,0.000628
在,0.566759
用,0.248765
的,0.368506
彩妆,0.987414
就,0.305707
只有,0.039762
这,0.010469
几,0.127462
样,0.00232
：,0.065169
"
1.",0.002609
底妆,0.965781
——,0.016379
气垫霜,0.955016
。,0.036835
比,0.145275
粉底液,0.042048
好,0.999962
驾驭,0.99996
，,0.009304
上妆,0.940392
效果,0.999955
比较,0.983678
均匀,0.999961
。,0.036835
"
2.",0.001532
底妆,0.965781
——,0.016379
散粉,0.001645
。,0.036835
用,0.248765
散粉,0.001645
定妆,0.044903
，,0.009304
妆容,0.982621
更,0.998421
持久,0.999962
，,0.009304
轻薄,0.999962
的,0.368506
底妆,0.965781
还,0.994331
不,0.002385
容易,0.237091
卡粉,0.00041
。,0.036835
"
3.",0.00155
眼妆,0.119996
—,0.033441
—,0.033441
木质,0.999872
眉笔,0.023513
。,0.036835
用,0.248765
过,0.500744
各,0.755635
种,0.988798
画眉,0.0095
产品,0.098665
，,0.009304
什么,0.005779
眉粉,0.119397
、,0.003558
自动,0.00092
眉笔,0.023513
、,0.003558
染眉膏,0.00225
什么,0.005779
，,0.009304
最后,0.060261
还是,0.320546
这,0.010469
种,0.988798
经典款,0.999962
的,0.368506
木质,0.999872
眉笔,0.023513
最,0.953145
实用,0.999962
。,0.036835
这,0.010469
支,0.009825
眉笔,0.023513
已经,0.060933
用,0.248765
了,0.103906
好几,0.084708
年,0.986375
了,0.103906
。,0.036835
虽然,0.783554
需要,0.262789
自己,0.999254
削,0.001757
，,0.009304
但是,0.208731
比较,0.983678
实惠,0.999962
也,0.912719
更,0.998421
耐用,0.999826
，,0.009304
粗细,0.006987
也,0.912719
可以,0.999954
自己,0.999254
调节,0.999879
，,0.009304
也,0.912719
可以,0.999954
眉,0.004576
、,0.003558
眼线,0.031981
两用,0.125551
。,0.036835
"
4.",0.001565
眼妆,0.119996
—,0.033441
—,0.033441
眼影,0.999963
。,0.036835
这,0.010469
盒,0.001496
大地色,0.999963
的,0.368506
眼影,0.999963
已经,0.060933
用,0.248765
了,0.103906
一,0.010558
年,0.986375
多,0.99408
了,0.103906
，,0.009304
大地色,0.999963
是,0.001972
百,0.843523
搭,0.99948
的,0.368506
色系,0.986734
，,0.009304
妆感,0.999698
自然,0.99996
，,0.009304
日常,0.999962
妆容,0.982621
最,0.953145
适合,0.999956
不过,0.986764
了,0.103906
，,0.009304
也,0.912719
不,0.002385
容易,0.237091
出错,0.999959
。,0.036835
"
5.",0.001891
唇妆,0.994205
——,0.016379
口红,0.961221
/,0.003202
唇釉,0.028077
，,0.009304
1,0.0034
-,0.006624
2,0.001327
支,0.009825
就,0.305707
够,0.999955
了,0.103906
。,0.036835
其实,0.999934
口红,0.961221
看着,0.999894
使用率,0.001235
很,0.999963
高,0.006936
，,0.009304
但,0.483666
其实,0.999934
一管,0.290727
消耗,0.022157
很,0.999963
慢,4.9e-05
的,0.368506
，,0.009304
而且,0.009074
很多,0.999951
色系,0.986734
并,0.017119
不,0.002385
适合,0.999956
自己,0.999254
。,0.036835
建议,0.000361
是,0.001972
可以,0.999954
去,0.024072
线下店,0.007253
试,0.345485
色,0.396171
，,0.009304
找到,0.953896
适合,0.999956
自己,0.999254
的,0.368506
颜色,0.173316
。,0.036835
我,0.000628
现在,0.999911
比较,0.983678
常用,0.999961
的,0.368506
还是,0.320546
豆沙色,0.982494
之类,0.424451
的,0.368506
比较,0.983678
自然,0.99996
的,0.368506
唇色,0.851234
。,0.036835
根据,0.539856
场合,0.661346
需要,0.262789
厚涂,0.002078
或者,0.024605
薄涂,0.004858
就,0.305707
可以,0.999954
呈现,0.99995
不同,0.455636
的,0.368506
妆效,0.999703
。,0.036835
还,0.994331
有,0.51643
一,0.010558
个,0.002308
很,0.999963
好,0.999962
的,0.368506
小,0.994681
技巧,0.999962
就,0.305707
是,0.001972
唇釉,0.028077
还,0.994331
可以,0.999954
作,0.999547
腮红,0.2295
使用,0.007915
，,0.009304
方法,0.999779
和,0.604069
液体,0.019749
腮红,0.2295
一样,0.371299
。,0.036835
这样一来,0.082479
还,0.994331
能,0.227357
大大,0.143628
提升,0.999962
使用率,0.001235
哦,0.993352
。,0.036835
"
#",0.014012
普通人,0.118032
化妆,0.87592
#,0.014012
上班,0.99996
化妆,0.87592
#,0.014012
通勤,0.626146
妆容,0.982621
#,0.014012
彩妆,0.987414
分享,0.999963
#,0.014012
日常,0.999962
化妆,0.87592
#,0.014012
极简,0.862612
#,0.014012
精简,0.999962
#,0.014012
精简,0.999962
生活,0.999963
#,0.014012
极简,0.862612
生活,0.999963
#,0.014012
极简,0.862612
主义,0.996818
#,0.014012
更,0.998421
好,0.999962
的,0.368506
自己,0.999254
#,0.014012
开始,0.99992
极简,0.862612
生活,0.999963
#,0.014012
女性,0.99996
#,0.014012
断舍离,0.99996
极简,0.862612
生活,0.999963
##,0.003538
断舍离,0.99996
#,0.014012
理性,0.999715
消费,7.1e-05
"
#",0.014012
今日,0.99994
上班,0.99996
早八妆,0.074941
用,0.248765
过,0.500744
才,0.000379
敢,0.013925
说,0.000205
！,0.001203
新品,0.999927
早八,0.076557
眼影,0.999963
选,0.999917
对,0.040364
真的,0.261996
很,0.999963
重要,0.04341
！,0.001203
#,0.014012
平价,0.978715
好用,0.999962
眼影,0.999963
#,0.014012
新手,0.006561
最,0.953145
容易,0.237091
上手,0.999959
的,0.368506
眼影盘,0.999914
#,0.014012
被,0.000725
种草,0.988716
就,0.305707
下单,0.001008
的,0.368506
眼影盘,0.999914
#,0.014012
美妆,0.999963
分享,0.999963
去,0.024072
台湾,0.999963
要,0.59401
做,0.999961
的,0.368506
17/100,0.06072
件,0.001824
事,0.002026
：,0.065169
扫,0.002211
货,0.000822
开架,0.001227
彩妆,0.987414
✨,0.789478
💄,0.033441
去,0.024072
台湾,0.999963
除了,0.992621
吃吃,0.999963
喝喝,0.011407
🥤,0.033441
也,0.912719
是,0.001972
要,0.59401
逛逛,0.999963
的,0.368506
吧,0.802922
！,0.001203
"
",0.037232
台湾,0.999963
的,0.368506
MIT,0.033441
品牌,0.999962
也,0.912719
是,0.001972
很,0.999963
给力,0.998302
！,0.001203
"
",0.037232
除了,0.992621
欧美,0.999963
或,0.050318
日,0.444648
韩,0.999446
品牌,0.999962
"
",0.037232
還,0.649889
有,0.51643
这,0.010469
六,0.164357
个,0.002308
MIT,0.033441
台湾,0.999963
彩妆,0.987414
，,0.009304
朋友,0.999963
說,0.000175
还,0.994331
蛮,0.999962
好用,0.999962
的,0.368506
～,0.021229
"
",0.037232
去,0.024072
台湾,0.999963
玩,0.99751
的,0.368506
朋朋,0.993481
别,0.005253
错过,0.99992
啦,0.487935
"😉

🛍️",0.016379
6,0.002767
个,0.002308
台湾,0.999963
彩妆,0.987414
品牌,0.999962
"
1. 1028
2. A.M Fairyland",0.013104
"
3. Fresh",0.00657
" O2
4.",0.004756
 heme,0.019143
"
5. KAIBEAUTY
6. ",0.006196
Solone,0.033441
"

✨",0.789478
可以,0.999954
到,0.542532
寶雅,0.999962
、,0.003558
康是美,0.999963
、,0.003558
屈臣氏,0.999884
逛逛,0.999963
"～😉
#",0.013237
我,0.000628
来,0.885449
这里,0.986929
只,0.04954
办,7e-05
一,0.010558
件,0.001824
事,0.002026
#,0.014012
台灣,0.999963
入境,0.999962
#,0.014012
台灣,0.999963
攻略,0.999963
#,0.014012
台湾,0.999963
代購,0.995056
#,0.014012
台湾,0.999963
旅游,0.999949
#,0.014012
台湾,0.999963
美食,0.999963
#,0.014012
台湾,0.999963
生活,0.999963
#,0.014012
台湾,0.999963
旅行,0.999963
#,0.014012
台湾,0.999963
彩妆,0.987414
#,0.014012
彩妆,0.987414
好物,0.999962
凭,0.001234
